,Adam_32_0.01,Adam_32_0.001,Adam_64_0.01,Adam_64_0.001,SGD_32_0.01,SGD_32_0.001,SGD_64_0.01,SGD_64_0.001
lenet,129.374606,129.316146,119.476617,123.92155,140.285932,120.289805,116.003202,116.958314
alexnet,408.787024,410.540798,373.547963,386.796843,405.554355,353.77261,337.0499,356.683174
nin,198.762786,196.06221,196.894303,202.890368,233.189207,195.825608,199.700876,203.684942
vgg,255.409498,260.497574,250.846591,247.388093,282.4295,253.855914,247.499016,246.131768
googlenet,246.925716,251.965878,202.773808,201.814278,238.671189,215.148141,205.720123,218.809923
resnet,451.652154,4465.308518,452.668319,504.387423,452.520536,433.639441,433.193008,498.875451
,,,,,
